gid,tipo_recorrido,cantidad_paradas,linea_ramal,lng,lat
306,VUELTA,1,103-D,-58.758728494601954,-27.581389217536611
307,IDA,1,103-D,-58.756675195736349,-27.581510620334502
308,IDA,1,103-D,-58.755495107533541,-27.581482540934392
309,IDA,1,103-D,-58.752784651527087,-27.581328565334136
310,IDA,1,103-D,-58.749619477219539,-27.581476589733825
311,IDA,1,103-D,-58.763691351553447,-27.578543342735355
312,IDA,1,103-D,-58.745728849210209,-27.58189174543341
313,IDA,1,103-D,-58.74374284110543,-27.582085367433187
314,IDA,1,103-D,-58.742953433403535,-27.582199445133117
315,IDA,1,103-D,-58.741735040000606,-27.582409830832972
316,IDA,1,103-D,-58.740764499398281,-27.582571433932866
317,IDA,1,103-D,-58.74040106009749,-27.58197749233285
318,IDA,1,103-D,-58.740440371197707,-27.580926736932899
319,IDA,1,103-D,-58.740643213298654,-27.577276669533052
320,IDA,1,103-D,-58.740899448099661,-27.574058437833198
321,IDA,1,103-D,-58.741975097702806,-27.569699512933486
324,IDA,1,103-D,-58.748925539520691,-27.5591708366346
325,IDA,1,103-D,-58.752184172030333,-27.544375855535471
326,IDA,1,103-D,-58.754993366837802,-27.538232507335991
327,IDA,1,103-D,-58.758769665647378,-27.533704938436546
328,IDA,1,103-D,-58.760161899850857,-27.532169709036751
329,IDA,1,103-D,-58.762280174356157,-27.530185293537006
330,IDA,1,103-D,-58.76809394627,-27.530237680437608
331,IDA,1,103-D,-58.77129197757742,-27.531754553437882
332,IDA,1,103-D,-58.783871286407226,-27.532880410639073
333,IDA,1,103-D,-58.763980275755017,-27.571672193835632
334,IDA,1,103-D,-58.788815268219132,-27.53158917843961
335,IDA,3,103-D 103-C-ESPERANZA-PUERTO 103-C-ESPERANZA-MONTAÃ‘A,-58.793244517329974,-27.529225230340135
336,IDA,3,103-D 103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-58.796269043237658,-27.525225805240574
337,IDA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.799722387346293,-27.521739771741061
338,IDA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.80322317305518,-27.517220752441546
339,IDA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.805962714361989,-27.514758903641923
340,IDA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.807237769465139,-27.513636734442084
341,IDA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.80929787357028,-27.511618875042352
342,IDA,1,103-D,-58.764295938256453,-27.566278271435866
343,IDA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.810262211572891,-27.509015958842557
344,IDA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.811969856677599,-27.503718679842926
345,IDA,5,103-D 103-B 103-C-ESPERANZA-PUERTO 109-A 109-B-YECOHA,-58.816390472488997,-27.496212266543623
346,IDA,1,103-D,-58.764251346556648,-27.56367451703596
347,IDA,5,103-D 103-B 103-C-ESPERANZA-PUERTO 109-A 109-B-YECOHA,-58.82234979214369,-27.48730128764603
348,IDA,6,103-D 103-A 103-C-ESPERANZA-PUERTO 103-B 106-B 102-B,-58.830062405414104,-27.476365723234494
349,IDA,4,103-D 103-A 103-B 103-C-ESPERANZA-PUERTO,-58.82977218092347,-27.47368070494575
350,IDA,5,103-D 103-B 103-A 103-C-ESPERANZA-PUERTO 101-B 101-C,-58.829532290823167,-27.471488753445808
351,IDA,1,103-D,-58.76231638415203,-27.563825810435752
352,IDA,4,103-D 103-A 103-C-ESPERANZA-PUERTO 103-B,-58.829238002222731,-27.469192531045863
353,IDA,4,103-D 103-C-ESPERANZA-PUERTO 103-A 103-B 104-B,-58.828972463522369,-27.466899912945927
354,IDA,6,103-D 103-A 103-B 103-C-ESPERANZA-PUERTO 105-C-250VIV 105-C-PERICHON 108-C 104-A 104-B 104-C 104-D,-58.830446676540049,-27.465840261898624
355,VUELTA,5,103-A 103-B 103-C-ESPERANZA-PUERTO 103-D 110-A,-58.83932205573592,-27.468221985224773
356,IDA,1,103-D,-58.761458747849929,-27.564255885835653
357,VUELTA,5,103-D 103-B 103-C-ESPERANZA-PUERTO 109-A 109-B-YECOHA 110-B,-58.822561078104329,-27.487336750804964
358,IDA,1,103-D,-58.761145180849006,-27.565709559335581
359,VUELTA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.812142942977978,-27.503895035142929
360,VUELTA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.810438482973304,-27.50909047394256
361,IDA,1,103-D,-58.746880103612966,-27.581743301933532
362,IDA,1,108-C,-58.793233117932047,-27.511975273640775
363,IDA,1,108-C,-58.80121813805124,-27.510290762541619
364,IDA,2,108-C 108-A-B,-58.798429227345139,-27.505926305541518
365,IDA,1,108-C,-58.79306958703188,-27.510116670340835
366,IDA,1,108-C,-58.803654421957766,-27.504284374542095
367,IDA,1,108-C,-58.804868037760656,-27.504158645942208
368,IDA,1,108-C,-58.806146613263707,-27.504078347342318
369,IDA,1,108-C,-58.807667174367374,-27.503713231642504
370,IDA,1,108-C,-58.809400887171712,-27.501824453542742
371,IDA,1,108-C,-58.81070821267501,-27.500227449542919
372,IDA,1,108-C,-58.812857416480433,-27.497492266943237
373,IDA,1,108-C,-58.814246213983964,-27.495779508843412
374,IDA,1,108-C,-58.815433761986945,-27.494257690543598
375,IDA,1,108-C,-58.815967102488308,-27.493550676943673
376,IDA,1,108-C,-58.817004446890941,-27.492328176343829
377,IDA,1,108-C,-58.816622148290357,-27.489626772843884
378,IDA,1,108-C,-58.816483008690106,-27.488801406843926
379,IDA,3,108-C 108-A-B 102-B,-58.815870878289068,-27.485304895943994
380,IDA,3,108-C 108-A-B 102-B,-58.815572398688523,-27.484001258543998
381,IDA,3,108-C 108-A-B 102-B,-58.81497091328751,-27.48051614694408
382,IDA,1,108-C,-58.81964214799897,-27.477486424244642
383,IDA,1,108-C,-58.819465373598689,-27.476259229844665
384,IDA,1,108-C,-58.819206875698264,-27.474764317344693
385,IDA,1,108-C,-58.818815776097559,-27.472857769644747
386,IDA,1,108-C,-58.818437836097019,-27.469866687544805
387,IDA,1,108-C,-58.819575847099827,-27.468869827844955
388,IDA,1,108-C,-58.821361169513331,-27.46732398054268
389,IDA,3,108-C 105-C-PERICHON 105-C-250VIV 109-A 109-B-YECOHA,-58.823511769382471,-27.466478721913042
390,IDA,3,108-C 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA 104-A,-58.826879118848616,-27.466185529306912
392,VUELTA,5,108-C 104-A 104-B 104-C 104-D 103-D,-58.833915071922696,-27.465540483553582
393,VUELTA,5,108-C 104-A 104-B 104-C 104-D,-58.835593580338262,-27.465383794246623
394,VUELTA,5,108-C 104-A 104-B 104-C 104-D 103-D,-58.837607248743062,-27.465195033846797
396,VUELTA,8,108-C 102-A 106-B 106-C 106-A 102-B 101-B 101-C,-58.835594070911114,-27.466597328664161
401,VUELTA,2,108-C 102-A,-58.819484651998891,-27.475015271544731
402,VUELTA,1,108-C,-58.819690930699245,-27.476256966744689
403,VUELTA,3,108-C 108-A-B 102-B,-58.814986335987726,-27.478980917644154
404,VUELTA,3,108-C 108-A-B 110-A,-58.81527936738825,-27.480449678444103
405,IDA,1,108-C,-58.798206017244162,-27.509556507841367
406,VUELTA,3,108-C 108-A-B 102-B,-58.815755207989064,-27.483179915844037
407,VUELTA,1,108-C,-58.816918783791017,-27.489839086443919
408,VUELTA,1,108-C,-58.817062449591063,-27.492410654343832
409,VUELTA,1,108-C,-58.816059051988539,-27.493632065243684
410,VUELTA,1,108-C,-58.815559658187247,-27.494337989143602
411,VUELTA,1,108-C,-58.814258870683979,-27.495917642643434
412,VUELTA,1,108-C,-58.812931177180602,-27.497603746243236
413,VUELTA,1,108-C,-58.810831007475308,-27.50028922424293
414,IDA,1,108-C,-58.799057115746052,-27.510609023341399
415,VUELTA,1,108-C,-58.809477833071874,-27.501962335842745
416,VUELTA,1,108-C,-58.807167948166125,-27.504093350942423
417,VUELTA,1,108-C,-58.806164885863751,-27.50418136094234
418,VUELTA,1,108-C,-58.804841467160585,-27.504268197442208
419,VUELTA,1,108-C,-58.803628102857687,-27.504387388142092
420,VUELTA,1,108-C,-58.802234443754358,-27.504507416941944
423,VUELTA,1,108-C,-58.799631946647992,-27.505909541741641
424,VUELTA,1,108-C,-58.798428053945123,-27.506012387641519
425,IDA,1,108-C,-58.800166460648732,-27.510450856841505
426,VUELTA,1,108-C,-58.793174863732169,-27.509867811640856
427,VUELTA,1,108-C,-58.793396313632435,-27.511963371340801
428,IDA,1,108-A-B,-58.802325219754565,-27.504564833041961
429,VUELTA,3,108-A-B 102-B 110-B,-58.814704787886093,-27.487043554043801
430,VUELTA,3,108-A-B 102-B 110-B,-58.812306893080383,-27.487301129943564
431,VUELTA,3,108-A-B 102-B 110-B,-58.809869603174612,-27.487062497143334
432,VUELTA,3,108-A-B 102-B 110-B,-58.807711933669502,-27.486910533243137
433,VUELTA,3,108-A-B 102-B 110-B,-58.808228678070428,-27.489350505243099
434,VUELTA,2,102-B 108-A-B 110-B,-58.808105774897143,-27.490624674807524
436,VUELTA,2,108-A-B 110-B,-58.804132693360437,-27.491736833142596
437,VUELTA,2,108-A-B 110-B,-58.802909857557367,-27.49289185934245
438,VUELTA,2,108-A-B 110-B,-58.800998364552832,-27.492896301742245
439,IDA,1,108-A-B 108-C,-58.801328611552201,-27.504581848241859
440,VUELTA,2,108-A-B 110-B,-58.799703863349755,-27.492784235742132
441,VUELTA,1,108-A-B,-58.799814504549843,-27.494228102342102
442,VUELTA,1,108-A-B,-58.800356394550938,-27.495906494642082
443,VUELTA,1,108-A-B,-58.79940697634833,-27.49891568174187
444,VUELTA,1,108-A-B,-58.797806954844241,-27.501172592941632
445,VUELTA,1,108-A-B,-58.797894210444163,-27.503431432041559
446,VUELTA,1,108-A-B,-58.797987165844248,-27.504451342041541
447,VUELTA,1,108-A-B,-58.798004264844131,-27.505863441241495
448,VUELTA,2,108-A-B 108-C,-58.798133262344251,-27.507331028641438
449,VUELTA,2,108-A-B 108-C,-58.798021363943896,-27.508329145741396
450,IDA,1,108-A-B,-58.80025639844964,-27.504670109741742
451,VUELTA,2,108-A-B 108-C,-58.795838381138616,-27.508836167041178
452,VUELTA,2,108-A-B 108-C,-58.794497276635425,-27.508897187341017
453,VUELTA,2,108-A-B 108-C,-58.792759875731278,-27.509099191140848
454,IDA,1,108-A-B,-58.799209163447138,-27.504771195441631
455,IDA,1,108-A-B,-58.797660103943478,-27.50447925374149
456,IDA,1,108-A-B,-58.797587851943419,-27.503571577441509
457,IDA,1,108-A-B,-58.797499171443491,-27.5013014228416
458,IDA,1,108-A-B,-58.799174210947783,-27.498803280441852
459,IDA,1,108-A-B,-58.800245082850637,-27.496097434442067
460,IDA,1,108-A-B,-58.799609902249358,-27.494270850042078
461,IDA,2,108-A-B 108-C,-58.794200138134748,-27.508663667440977
462,IDA,1,108-A-B,-58.799365988848955,-27.492765460242122
